"Seq","AOU","English_Common_Name","Freanch_Common_Name","Spanish_Common_Name","ORDER","Family","Genus","Species","ScientificName"
6,1770,"Black-bellied Whistling-Duck","Dendrocygne à ventre noir","Dendrocygna autumnalis","Anseriformes","Anatidae","Dendrocygna","autumnalis","Dendrocygna autumnalis"
7,1780,"Fulvous Whistling-Duck","Dendrocygne fauve","Dendrocygna bicolor","Anseriformes","Anatidae","Dendrocygna","bicolor","Dendrocygna bicolor"
8,1760,"Emperor Goose","Oie empereur","Anser canagicus","Anseriformes","Anatidae","Anser","canagicus","Anser canagicus"
9,1690,"Snow Goose","Oie des neiges","Anser caerulescens","Anseriformes","Anatidae","Anser","caerulescens","Anser caerulescens"
10,1691,"(Blue Goose) Snow Goose","Oie des neiges (forme bleue)","Anser caerulescens (blue form)","Anseriformes","Anatidae","Anser","caerulescens (blue form)","Anser caerulescens (blue form)"
11,1700,"Ross's Goose","Oie de Ross","Anser rossii","Anseriformes","Anatidae","Anser","rossii","Anser rossii"
13,1710,"Greater White-fronted Goose","Oie rieuse","Anser albifrons","Anseriformes","Anatidae","Anser","albifrons","Anser albifrons"
18,1730,"Brant","Bernache cravant","Branta bernicla","Anseriformes","Anatidae","Branta","bernicla","Branta bernicla"
19,1740,"(Black Brant) Brant","Bernache cravant (groupe nigricans)","Branta bernicla nigricans","Anseriformes","Anatidae","Branta","bernicla nigricans","Branta bernicla nigricans"
21,1725,"Cackling Goose","Bernache de Hutchins","Branta hutchinsii","Anseriformes","Anatidae","Branta","hutchinsii","Branta hutchinsii"
22,1720,"Canada Goose","Bernache du Canada","Branta canadensis","Anseriformes","Anatidae","Branta","canadensis","Branta canadensis"
23,1782,"Mute Swan","Cygne tuberculé","Cygnus olor","Anseriformes","Anatidae","Cygnus","olor","Cygnus olor"
24,1810,"Trumpeter Swan","Cygne trompette","Cygnus buccinator","Anseriformes","Anatidae","Cygnus","buccinator","Cygnus buccinator"
25,1800,"Tundra Swan","Cygne siffleur","Cygnus columbianus","Anseriformes","Anatidae","Cygnus","columbianus","Cygnus columbianus"
27,20630,"Egyptian Goose","Ouette d'Égypte","Alopochen aegyptiaca","Anseriformes","Anatidae","Alopochen","aegyptiaca","Alopochen aegyptiaca"
28,10210,"Muscovy Duck","Canard musqué","Cairina moschata","Anseriformes","Anatidae","Cairina","moschata","Cairina moschata"
29,1440,"Wood Duck","Canard branchu","Aix sponsa","Anseriformes","Anatidae","Aix","sponsa","Aix sponsa"
32,1400,"Blue-winged Teal","Sarcelle à ailes bleues","Spatula discors","Anseriformes","Anatidae","Spatula","discors","Spatula discors"
33,1410,"Cinnamon Teal","Sarcelle cannelle","Spatula cyanoptera","Anseriformes","Anatidae","Spatula","cyanoptera","Spatula cyanoptera"
34,1420,"Northern Shoveler","Canard souchet","Spatula clypeata","Anseriformes","Anatidae","Spatula","clypeata","Spatula clypeata"
35,1350,"Gadwall","Canard chipeau","Mareca strepera","Anseriformes","Anatidae","Mareca","strepera","Mareca strepera"
37,1360,"Eurasian Wigeon","Canard siffleur","Mareca penelope","Anseriformes","Anatidae","Mareca","penelope","Mareca penelope"
38,1370,"American Wigeon","Canard d'Amérique","Mareca americana","Anseriformes","Anatidae","Mareca","americana","Mareca americana"
40,1320,"Mallard","Canard colvert","Anas platyrhynchos","Anseriformes","Anatidae","Anas","platyrhynchos","Anas platyrhynchos"
41,1331,"(Mexican Duck) Mallard","Canard du Mexique","Anas platyrhynchos diazi","Anseriformes","Anatidae","Anas","platyrhynchos diazi","Anas platyrhynchos diazi"
42,1330,"American Black Duck","Canard noir","Anas rubripes","Anseriformes","Anatidae","Anas","rubripes","Anas rubripes"
43,1340,"Mottled Duck","Canard brun","Anas fulvigula","Anseriformes","Anatidae","Anas","fulvigula","Anas fulvigula"
44,1326,"hybrid Mallard x Black Duck or Mottled Duck","hybride Canard colvert x Canard noir","Anas platyrhynchos x rubripes or fulvigula","Anseriformes","Anatidae","Anas","platyrhynchos x rubripes or fulvigula","Anas platyrhynchos x rubripes or fulvigula"
46,1430,"Northern Pintail","Canard pilet","Anas acuta","Anseriformes","Anatidae","Anas","acuta","Anas acuta"
47,1390,"Green-winged Teal","Sarcelle d'hiver","Anas crecca","Anseriformes","Anatidae","Anas","crecca","Anas crecca"
48,1470,"Canvasback","Fuligule à dos blanc","Aythya valisineria","Anseriformes","Anatidae","Aythya","valisineria","Aythya valisineria"
49,1460,"Redhead","Fuligule à tête rouge","Aythya americana","Anseriformes","Anatidae","Aythya","americana","Aythya americana"
51,1500,"Ring-necked Duck","Fuligule à collier","Aythya collaris","Anseriformes","Anatidae","Aythya","collaris","Aythya collaris"
52,1491,"Tufted Duck","Fuligule morillon","Aythya fuligula","Anseriformes","Anatidae","Aythya","fuligula","Aythya fuligula"
53,1480,"Greater Scaup","Fuligule milouinan","Aythya marila","Anseriformes","Anatidae","Aythya","marila","Aythya marila"
54,1490,"Lesser Scaup","Petit Fuligule","Aythya affinis","Anseriformes","Anatidae","Aythya","affinis","Aythya affinis"
55,1489,"unid. Greater Scaup / Lesser Scaup","unid Fuligule milouinan / Petit Fuligule","Aythya marila / affinis","Anseriformes","Anatidae","Aythya","marila / affinis","Aythya marila / affinis"
58,1620,"King Eider","Eider à tête grise","Somateria spectabilis","Anseriformes","Anatidae","Somateria","spectabilis","Somateria spectabilis"
